,Label,MVS-A,Readout
0,non-hit,72.13978896161214,29.0
1,non-hit,64.62706243115994,30.0
2,non-hit,66.3951919458806,27.0
3,non-hit,64.62706243115994,31.0
4,non-hit,81.10910543453035,31.0
5,non-hit,64.20781656658184,32.0
6,non-hit,96.03125328936291,36.0
7,non-hit,98.24335178725029,29.0
8,non-hit,63.32143383950646,80.0
9,non-hit,88.26957045496997,81.0
10,non-hit,85.42125067372824,62.0
11,non-hit,91.75685152628853,46.0
12,non-hit,87.6211880475273,30.0
13,non-hit,76.53522908952195,58.0
14,non-hit,85.1116253487267,56.0
15,non-hit,56.03337149041282,66.0
16,non-hit,92.70566312707184,75.0
17,non-hit,90.51867210106333,53.0
18,non-hit,84.68824719006659,26.0
19,non-hit,81.95473689585934,26.0
20,non-hit,96.04755495715109,25.0
21,non-hit,96.3943824964477,38.0
22,non-hit,96.28098750475964,29.0
23,non-hit,89.40277310902603,43.0
24,non-hit,97.18539322673072,50.0
25,hit,69.13620607810176,31.0
26,non-hit,92.12619165345129,32.0
27,non-hit,69.13620607810176,32.0
28,non-hit,81.51959122996624,31.0
29,non-hit,99.10168431877669,44.0
30,non-hit,83.45841481923648,44.0
31,non-hit,97.72065526343361,28.0
32,non-hit,63.41643713317934,78.0
33,hit,63.41643713317934,61.0
34,non-hit,77.70139990987998,28.0
35,non-hit,63.32229880886404,47.0
36,non-hit,82.16256107701815,28.0
37,non-hit,76.90061526622732,29.0
38,non-hit,56.67460460025042,31.0
39,non-hit,86.16754866581049,75.0
40,non-hit,99.60663143323686,27.0
41,non-hit,85.27331092353369,35.0
42,non-hit,86.84167807826019,26.0
43,non-hit,99.93786203078253,28.0
44,hit,99.8493526720646,31.0
45,non-hit,96.51372053971778,26.0
46,non-hit,99.58705694998699,31.0
47,non-hit,59.52936011483688,48.0
48,non-hit,52.025166726096245,31.0
49,non-hit,82.60065231382353,49.0
50,non-hit,96.92106574384431,85.0
51,non-hit,88.24513850912096,45.0
52,non-hit,80.0552883281745,37.0
53,non-hit,91.54282779496143,57.0
54,non-hit,95.69759235639195,31.0
55,non-hit,54.33379378439785,44.0
56,non-hit,76.51523386078512,35.0
57,non-hit,53.88877428899614,45.0
58,non-hit,88.76366459882105,62.0
59,non-hit,65.11474246201465,48.0
60,non-hit,83.79219010710258,40.0
61,non-hit,96.98275510374658,38.0
62,non-hit,94.53120248292355,26.0
63,non-hit,71.98907906784645,39.0
64,non-hit,65.12462225793605,44.0
65,non-hit,98.44291837098031,30.0
66,non-hit,99.17445188026814,36.0
67,non-hit,69.13271816605454,32.0
68,non-hit,93.25074113967892,36.0
69,non-hit,90.31853821268662,46.0
70,non-hit,93.6766184422986,26.0
71,non-hit,99.82713543847221,26.0
72,non-hit,93.57131652787481,29.0
73,non-hit,92.22033859341751,50.0
74,non-hit,96.52445539169427,30.0
75,non-hit,97.46668758450701,32.0
76,non-hit,98.55102050342317,31.0
77,non-hit,69.60089307345483,44.0
78,non-hit,82.46774743846301,46.0
79,non-hit,83.55367836237916,61.0
80,non-hit,89.70723294681063,64.0
81,non-hit,74.58740337103255,43.0
82,non-hit,62.86800810670566,36.0
83,non-hit,82.4731303281699,35.0
84,non-hit,49.84631873473421,68.0
85,non-hit,58.08955582898581,26.0
86,non-hit,76.80037181713271,38.0
87,non-hit,71.1482114059992,28.0
88,non-hit,61.866061883263846,31.0
89,non-hit,65.56245138294393,46.0
90,non-hit,56.23725334547387,41.0
91,non-hit,67.56592893837569,34.0
92,non-hit,51.286610056277304,54.0
93,non-hit,55.817299166044656,44.0
94,non-hit,87.91996913149306,64.0
95,non-hit,70.6544953049728,31.0
96,non-hit,74.11980270150195,58.0
97,non-hit,79.8157251923617,35.0
98,non-hit,99.35682953333348,29.0
99,non-hit,93.74943147435597,38.0
100,non-hit,59.466211850196565,31.0
101,non-hit,99.0923859156133,50.0
102,non-hit,95.90982762477901,41.0
103,non-hit,91.60828689734585,46.0
104,non-hit,75.93011773564359,29.0
105,non-hit,87.72745103226501,26.0
106,non-hit,70.58702081296619,37.0
107,non-hit,97.0745400492141,29.0
108,non-hit,99.90077709385646,89.0
109,non-hit,76.08891318418438,53.0
110,non-hit,97.18151449389485,37.0
111,non-hit,70.19750914305286,39.0
112,non-hit,90.17043083468234,41.0
113,non-hit,99.80657270874006,37.0
114,non-hit,50.23025844405269,58.0
115,non-hit,52.65930723874467,54.0
116,non-hit,93.2271149876379,37.0
117,non-hit,97.03444310675754,37.0
118,non-hit,99.6688307645177,30.0
119,non-hit,79.7822331245794,39.0
120,non-hit,82.382387179783,28.0
121,non-hit,96.74944459857717,27.0
122,non-hit,49.65393580828263,29.0
123,non-hit,98.74386781407668,33.0
124,non-hit,97.94032555148101,47.0
125,non-hit,68.86723041119495,66.0
126,non-hit,70.88861946763281,26.0
127,non-hit,70.73280382558481,32.0
128,non-hit,83.35994287836733,43.0
129,non-hit,82.53164878016774,32.0
130,non-hit,62.14938961197916,34.0
131,non-hit,73.86922231034276,57.0
132,non-hit,60.12569709239947,41.0
133,non-hit,80.99277227068795,36.0
134,non-hit,90.86154816057356,29.0
135,non-hit,97.56697838297171,26.0
136,non-hit,82.46809042913867,37.0
137,non-hit,83.91789427484733,32.0
138,non-hit,83.62100408166476,32.0
139,non-hit,97.80594640609489,53.0
140,non-hit,94.98168534416166,32.0
141,non-hit,82.79068907994929,46.0
142,non-hit,76.56300067914394,76.0
143,non-hit,45.86411531761474,31.0
144,non-hit,98.04760444552434,29.0
145,non-hit,88.9898410492034,28.0
146,non-hit,95.47549775069308,34.0
147,non-hit,96.55105884993226,29.0
148,non-hit,96.144957550413,29.0
149,non-hit,99.66140800572856,33.0
150,non-hit,91.26064531307567,28.0
151,non-hit,79.48066235207374,32.0
152,non-hit,91.15102364937648,33.0
153,non-hit,98.11238623175711,29.0
154,non-hit,91.36025904342492,75.0
155,non-hit,99.52072597109651,49.0
156,non-hit,98.28521328373033,27.0
157,non-hit,81.08759673196465,67.0
158,non-hit,90.55782884110042,72.0
159,non-hit,80.1450267782957,52.0
160,non-hit,65.96621443992139,35.0
161,non-hit,78.65805963478395,77.0
162,non-hit,90.71696910320117,33.0
163,non-hit,96.57891206416609,28.0
164,non-hit,64.75726190845705,70.0
165,non-hit,98.50280627623222,30.0
166,non-hit,99.87429566658555,28.0
167,non-hit,98.74095172854524,29.0
168,non-hit,73.28941654271857,49.0
169,non-hit,89.61393855399777,39.0
170,non-hit,73.26008200862465,32.0
171,non-hit,94.62455596203418,36.0
172,non-hit,97.89339003553678,72.0
173,non-hit,86.08168400003566,57.0
174,non-hit,91.06518518964027,60.0
175,non-hit,99.88743050195507,26.0
176,non-hit,82.86195055765758,30.0
177,non-hit,77.82960921868975,50.0
178,non-hit,90.4434592534407,32.0
179,non-hit,83.06043530461145,44.0
180,non-hit,75.70106403033954,46.0
181,non-hit,96.7007167463476,29.0
182,non-hit,95.31647537056853,34.0
183,non-hit,97.37483556105398,32.0
184,non-hit,90.04150632523229,28.0
185,non-hit,76.96963224556241,27.0
186,non-hit,74.40306610687004,43.0
187,non-hit,69.79168206315342,46.0
188,non-hit,88.55705168137673,27.0
189,non-hit,73.42822895239536,38.0
190,non-hit,91.39666847568876,64.0
191,non-hit,66.07032910620724,33.0
192,non-hit,66.21136078316941,36.0
193,non-hit,99.08450099631284,28.0
194,non-hit,68.23237502665073,80.0
195,non-hit,59.17449579810279,37.0
196,non-hit,75.74175445917743,66.0
197,non-hit,74.90683265305458,48.0
198,non-hit,94.03217935202085,35.0
199,non-hit,94.68877831891297,60.0
200,non-hit,94.12326030415963,32.0
201,non-hit,72.33053373655696,25.0
202,non-hit,94.09321491541338,57.0
203,non-hit,66.59353321939706,37.0
204,non-hit,58.821697262952064,38.0
205,non-hit,78.3420290347453,50.0
206,non-hit,75.05349053696636,57.0
207,non-hit,84.78057794966595,45.0
208,non-hit,75.79556858893386,39.0
209,non-hit,55.278581821503344,33.0
210,non-hit,79.77445460600325,40.0
211,non-hit,70.5234446018716,26.0
212,non-hit,53.02854464154353,50.0
213,non-hit,73.84650583791401,54.0
214,non-hit,88.52345515831036,28.0
215,non-hit,72.98925884777093,43.0
216,non-hit,85.36114747799883,25.0
217,non-hit,90.79257280297034,30.0
218,non-hit,75.996957645433,31.0
219,non-hit,68.32714541520892,67.0
220,non-hit,79.33931851138576,34.0
221,non-hit,86.93236731235845,57.0
222,non-hit,78.08579285658362,49.0
223,non-hit,71.36614451715477,60.0
224,non-hit,72.16140493137897,26.0
225,non-hit,72.73443152039518,27.0
226,non-hit,46.24698061159967,41.0
227,non-hit,90.36773131804034,27.0
228,non-hit,95.27776255585897,36.0
229,non-hit,84.01270493125425,32.0
230,non-hit,85.68295666184102,39.0
231,non-hit,96.96782354797746,34.0
232,non-hit,73.14769223652871,36.0
233,non-hit,99.64317882136666,31.0
