,Time - mean,Time - STD,FP rate,FP Precision@90 - mean,FP Precision@90 - STD,TP rate,TP Precision@90 - mean,TP Precision@90 - STD,FP EF10 - mean,FP EF10 - STD,TP EF10 - mean,TP EF10 - STD,FP BEDROC20 - mean,FP BEDROC20 - STD,TP BEDROC20 - mean,TP BEDROC20 - STD,FP Scaffold - mean,FP Scaffold - STD,TP Scaffold - mean,TP Scaffold - STD
GPCR,3.8937917232513426,0.03904104155573953,0.5113573407202217,0.5435877929484287,0.013246029720088294,0.48864265927977835,0.49237031437583434,0.012949451700360564,0.27796760825008304,0.006773454532765369,0.24059313976702817,0.0063276545150792365,0.5861069331208888,0.005586280339796105,0.5226092458278568,0.004956584367873889,87.30434782608695,0.39658275655622555,51.14770531400966,1.1410391021685198
GPCR_2,2.5426137447357178,0.030888769226110148,0.7915966386554621,0.8833034719448186,0.0077699777953792225,0.20840336134453785,0.5126725235548765,0.04002034286260254,0.6992200593042176,0.006150688305249773,0.106842677177823,0.008340373974727255,0.8790072617212029,0.008505710670374129,0.5041358608656527,0.01716908465021978,96.66666666666667,0.40404040404040414,60.24161210090858,0.9462129411435228
GPCR_3,0.9497156143188477,0.007891256231566576,0.5652435357787132,0.8935035887374017,0.014176025374943066,0.4347564642212868,0.8272187699023663,0.010295334027527064,0.5050471277288981,0.008012906706221566,0.359638707540235,0.004475963019784763,0.8946280734651154,0.011876764842335737,0.8520979094728961,0.00668500232026644,95.77981651376146,1.138502169356958,67.9816513761468,1.1009174311926617
channel_atp,3.8578373908996584,0.05242884642897227,0.4802804557405784,0.7165404200912692,0.019730722862806912,0.5197195442594216,0.786250250520734,0.007462847559306345,0.3441403595179803,0.009476280568639951,0.408629621874492,0.0038785877324002335,0.7376141521669239,0.011017439993466169,0.8015878053569313,0.006845638130895944,96.91319171256228,1.082142384935985,65.69105691056912,1.0785771675952514
cysteine_protease,3.8646944999694823,0.06646001464345665,0.4845869297163995,0.8377253353480348,0.013609237896250318,0.5154130702836005,0.9272998527474229,0.043025086468860024,0.4059507482019454,0.0065948588079240145,0.47794246417807995,0.022175691916132535,0.8347600304793756,0.012760987485523822,0.8682278678342662,0.008073551169473718,97.62162162162163,0.7332248630405706,61.70718311894782,1.226739901943758
ion_channel,3.7190691947937013,0.06582897155633696,0.1590909090909091,0.21592954121123137,0.03568459884053692,0.8409090909090909,0.8441385488783638,0.012715114503202197,0.03435242701087772,0.005677095270085418,0.7098437797386242,0.010692255377692778,0.221996865452235,0.01240417955091043,0.8505654287707799,0.0218298578000822,93.64341085271317,0.9040235495884176,35.581395348837205,1.0515240283915162
ion_channel_2,1.498837375640869,0.022605899647003675,0.21364653243847875,0.2859152540871814,0.0143129497074785,0.7863534675615212,0.835433177933178,0.007613417506566554,0.061084802606992894,0.0030579120739691215,0.6569457763836959,0.005986837256282197,0.3515027485341025,0.010362787547271378,0.8447683680004487,0.0077495317114789665,91.96574334270039,0.45235211072055825,63.546099290780134,0.9962793146905645
ion_channel_3,3.6219253063201906,0.05298970955807393,0.32430143945808637,0.5974115918870606,0.007694219513566819,0.6756985605419137,0.8809006247268201,0.007303727089319066,0.19374143919792058,0.0024952464637562214,0.5952232841083849,0.004935117880843894,0.6117333143298693,0.003439809496247914,0.8853143874786369,0.008264637496985899,96.36363636363635,1.2712834523274572,42.78787878787879,1.5139389087026414
kinase,3.9036138534545897,0.1008304342521339,0.21621621621621623,0.5083333333333333,0.04859126579037749,0.7837837837837838,0.9429473684210526,0.01153388360068397,0.10990990990990993,0.010506219630351888,0.7390668563300141,0.009040070930265796,0.5371031085202076,0.03260762951235903,0.9478712236508058,0.016272646304740974,100.0,0.0,66.93333333333334,2.688659310676769
serine,2.5812157154083253,0.03359495538261778,0.9141494435612083,0.9493563304586926,0.013859104978357397,0.08585055643879169,0.42677165354330704,0.012598425196850395,0.8678535612301245,0.012669293104221808,0.03663858392899616,0.0010815818134020994,0.942016218659211,0.012085720820467188,0.6762178311974092,0.006058048055891813,97.95275590551182,0.8029951989909873,68.34645669291339,2.653905440370507
splicing,3.4622686386108397,0.07122598020752324,0.1154394299287411,0.36190627043571655,0.012162611231609203,0.8845605700712589,0.9644113904611469,0.007040515997508447,0.04177825354673593,0.0014040449070218696,0.8530802893295275,0.006227762844351872,0.4163131025826196,0.009346974473864008,0.9710066073365227,0.004290865231106466,94.337899543379,1.0650140447206002,40.0,1.971418552047753
transcription,3.834510326385498,0.04384992147746204,0.4730878186968839,0.8045059043248329,0.015821418767551422,0.5269121813031161,0.897094196226659,0.012319248149240849,0.38060194340579917,0.007484920493430848,0.47268985976815453,0.006491161914330876,0.8402186144222815,0.02143683343345182,0.8895987347948958,0.003705557902842318,95.55555555555557,0.4358136336404102,53.887252227677756,1.369875958491435
transcription_2,3.3286410331726075,0.03455707935842473,0.7640941434044882,0.9197253969819817,0.006466403641931774,0.23590585659551178,0.6413234335654451,0.011121978859004499,0.7027567893743003,0.004940941151689547,0.1512919539500311,0.0026237399497706215,0.9222417265087473,0.002022295771433368,0.5826634158991716,0.007514300803404377,97.42489270386265,0.7181631129047908,57.682403433476395,0.6973423523292672
transcription_3,3.98407301902771,0.059145160350168764,0.8126361655773421,0.996162012085579,0.0031337394747539965,0.18736383442265792,0.46722343737122063,0.014024969508906396,0.8095172777950349,0.002546590030682429,0.08754077475800646,0.0026277720648495654,0.994836565995854,0.003179580644866896,0.497952827840329,0.008459489736342269,97.43016759776536,0.6703910614525151,62.098075729360644,1.2977673686981837
transporter,3.558944845199585,0.054206078996627625,0.2929377350605934,0.4875854269668315,0.013244325570926082,0.7070622649394066,0.9510154341037366,0.00452288388230268,0.142832170624216,0.0038797627351521862,0.6724271268297208,0.0031979605218788567,0.5134997894832039,0.01060603903362761,0.9451440924773451,0.002544863191630731,96.88212927756653,0.7755162758316,50.37936398202557,0.7403159732048062
ubiquitin,3.7821402072906496,0.05707316299447435,0.7067108533554267,0.727530351945794,0.014164464958771937,0.2932891466445733,0.38805110745016064,0.01794966556798852,0.514153595865586,0.010010181118336762,0.11381117815853925,0.005264442096990836,0.7241422358585943,0.008752454403989236,0.37756915664086754,0.02012426303268879,94.54545454545455,1.2724622040432085,32.01216505013973,2.056784281514789
zinc_finger,3.514614391326904,0.027689978887650322,0.48903508771929827,0.7461357850070721,0.012544788490003107,0.5109649122807017,0.7484408958311543,0.01767385435509948,0.36488657907144095,0.006134841739628714,0.3824270366856555,0.00903071944021532,0.7625710357044873,0.005824633378368449,0.7489493152660652,0.006957741901984097,97.71929824561404,0.701754385964916,64.21052631578947,1.9536015308175492
